Date	GoldChange %
04-Jan-18	0.15
03-Jan-18	0.18
02-Jan-18	0.57
01-Jan-18	-0.05
29-Dec-17	0.93
28-Dec-17	0.45
27-Dec-17	0.3
26-Dec-17	0.75
25-Dec-17	-0.07
22-Dec-17	0.65
21-Dec-17	0.08
20-Dec-17	0.43
19-Dec-17	-0.1
18-Dec-17	0.64
15-Dec-17	0.03
14-Dec-17	0.68
13-Dec-17	0.56
12-Dec-17	-0.42
11-Dec-17	-0.12
08-Dec-17	-0.38
07-Dec-17	-1.03
06-Dec-17	0.09
05-Dec-17	-1
04-Dec-17	-0.36
01-Dec-17	0.44
30-Nov-17	-0.74
29-Nov-17	-1
28-Nov-17	0.02
27-Nov-17	0.55
24-Nov-17	0.01
23-Nov-17	-0.4
22-Nov-17	0.82
21-Nov-17	0.85
20-Nov-17	-1.64
17-Nov-17	1.43
16-Nov-17	0.04
15-Nov-17	-0.41
14-Nov-17	0.31
13-Nov-17	0.37
10-Nov-17	-1.03
09-Nov-17	0.3
08-Nov-17	0.62
07-Nov-17	-0.45
06-Nov-17	0.98
03-Nov-17	-0.7
02-Nov-17	0.06
01-Nov-17	0.54
31-Oct-17	-0.56
30-Oct-17	0.46
27-Oct-17	0.17
26-Oct-17	-0.73
25-Oct-17	0.05
24-Oct-17	-0.2
23-Oct-17	0.03
20-Oct-17	-0.74
19-Oct-17	0.55
18-Oct-17	-0.25
17-Oct-17	-1.29
16-Oct-17	-0.12
13-Oct-17	0.62
12-Oct-17	0.59
11-Oct-17	-0.38
10-Oct-17	0.68
09-Oct-17	0.79
06-Oct-17	0.13
05-Oct-17	-0.28
04-Oct-17	0.17
03-Oct-17	-0.09
02-Oct-17	-0.7
29-Sep-17	-0.3
28-Sep-17	0.07
27-Sep-17	-1.07
26-Sep-17	-0.75
25-Sep-17	1.08
22-Sep-17	0.21
21-Sep-17	-1.64
20-Sep-17	0.44
19-Sep-17	-0.02
18-Sep-17	-1.09
15-Sep-17	-0.31
14-Sep-17	0.1
13-Sep-17	-0.35
12-Sep-17	-0.22
11-Sep-17	-1.15
08-Sep-17	0.07
07-Sep-17	0.84
06-Sep-17	-0.41
05-Sep-17	0.48
04-Sep-17	-0.23
03-Sep-17	0.81
01-Sep-17	0.62
31-Aug-17	0.62
30-Aug-17	-0.36
29-Aug-17	0.27
28-Aug-17	1.34
25-Aug-17	0.46
24-Aug-17	-0.21
23-Aug-17	0.29
22-Aug-17	-0.44
21-Aug-17	0.39
18-Aug-17	-0.06
17-Aug-17	0.74
16-Aug-17	0.25
15-Aug-17	-0.83
14-Aug-17	-0.28
11-Aug-17	0.3
10-Aug-17	0.84
09-Aug-17	1.32
08-Aug-17	-0.17
07-Aug-17	0.01
04-Aug-17	-0.77
03-Aug-17	-0.31
02-Aug-17	-0.08
01-Aug-17	0.47
31-Jul-17	-0.15
28-Jul-17	0.69
27-Jul-17	0.87
26-Jul-17	-0.23
25-Jul-17	0.33
24-Jul-17	-0.05
21-Jul-17	0.75
20-Jul-17	0.28
19-Jul-17	0.01
18-Jul-17	0.66
17-Jul-17	0.51
14-Jul-17	0.84
13-Jul-17	-0.15
12-Jul-17	0.36
11-Jul-17	0.12
10-Jul-17	0.29
07-Jul-17	-1.11
06-Jul-17	0.13
05-Jul-17	-0.48
04-Jul-17	0.68
03-Jul-17	-1.86
30-Jun-17	-0.28
29-Jun-17	-0.26
28-Jun-17	0.18
27-Jun-17	0.04
26-Jun-17	-0.8
23-Jun-17	0.56
22-Jun-17	0.29
21-Jun-17	0.18
20-Jun-17	-0.26
19-Jun-17	-0.78
16-Jun-17	0.15
15-Jun-17	-1.67
14-Jun-17	0.58
13-Jun-17	-0.02
12-Jun-17	-0.2
09-Jun-17	-0.63
08-Jun-17	-1.06
07-Jun-17	-0.33
06-Jun-17	1.15
05-Jun-17	0.2
02-Jun-17	0.8
01-Jun-17	-0.42
31-May-17	0.77
30-May-17	-0.08
29-May-17	-0.12
28-May-17	-0.25
26-May-17	0.92
25-May-17	0.26
24-May-17	-0.19
23-May-17	-0.47
22-May-17	0.89
19-May-17	0.06
18-May-17	-0.47
17-May-17	1.8
16-May-17	0.52
15-May-17	0.19
12-May-17	0.29
11-May-17	0.43
10-May-17	0.23
09-May-17	-0.9
08-May-17	0.02
05-May-17	-0.14
04-May-17	-1.59
03-May-17	-0.68
02-May-17	0.12
01-May-17	-1.01
28-Apr-17	0.19
27-Apr-17	0.13
26-Apr-17	-0.24
25-Apr-17	-0.81
24-Apr-17	-0.9
21-Apr-17	0.41
20-Apr-17	0.03
19-Apr-17	-0.83
18-Apr-17	0.17
17-Apr-17	0.17
14-Apr-17	0.09
13-Apr-17	0.81
12-Apr-17	0.31
11-Apr-17	1.62
10-Apr-17	-0.27
07-Apr-17	0.32
06-Apr-17	0.38
05-Apr-17	-0.79
04-Apr-17	0.35
03-Apr-17	0.22
31-Mar-17	0.26
30-Mar-17	-0.7
29-Mar-17	-0.16
28-Mar-17	0
27-Mar-17	0.57
24-Mar-17	0.13
23-Mar-17	-0.22
22-Mar-17	0.26
21-Mar-17	1
20-Mar-17	0.32
17-Mar-17	0.24
16-Mar-17	2.19
15-Mar-17	0.16
14-Mar-17	-0.04
13-Mar-17	0.14
10-Mar-17	-0.14
09-Mar-17	-0.5
08-Mar-17	-0.54
07-Mar-17	-0.77
06-Mar-17	-0.08
03-Mar-17	-0.52
02-Mar-17	-1.36
01-Mar-17	-0.3
28-Feb-17	-0.38
27-Feb-17	0.04
24-Feb-17	0.54
23-Feb-17	1.48
22-Feb-17	-0.44
21-Feb-17	-0.06
20-Feb-17	0.07
19-Feb-17	-0.02
17-Feb-17	-0.19
16-Feb-17	0.67
15-Feb-17	0.64
14-Feb-17	-0.04
13-Feb-17	-0.81
10-Feb-17	-0.06
09-Feb-17	-0.2
08-Feb-17	0.28
07-Feb-17	0.34
06-Feb-17	0.94
03-Feb-17	0.15
02-Feb-17	0.92
01-Feb-17	-0.25
31-Jan-17	1.29
30-Jan-17	0.43
27-Jan-17	-0.12
26-Jan-17	-0.65
25-Jan-17	-1.07
24-Jan-17	-0.39
23-Jan-17	0.89
20-Jan-17	0.28
19-Jan-17	-0.86
