Date	OilChange %
04-Jan-18	0.57
03-Jan-18	2.09
02-Jan-18	0.22
01-Jan-18	-0.3
29-Dec-17	0.97
28-Dec-17	0.34
27-Dec-17	-0.55
26-Dec-17	2.36
25-Dec-17	0.21
22-Dec-17	0.19
21-Dec-17	0.46
20-Dec-17	1.1
19-Dec-17	0.52
18-Dec-17	-0.24
15-Dec-17	0.46
14-Dec-17	0.78
13-Dec-17	-0.95
12-Dec-17	-1.47
11-Dec-17	1.1
08-Dec-17	1.18
07-Dec-17	1.3
06-Dec-17	-2.88
05-Dec-17	0.26
04-Dec-17	-1.53
01-Dec-17	1.67
30-Nov-17	0.17
29-Nov-17	-1.19
28-Nov-17	-0.21
27-Nov-17	-1.42
24-Nov-17	0.98
23-Nov-17	0.62
22-Nov-17	2.09
21-Nov-17	1.32
20-Nov-17	-0.81
17-Nov-17	2.56
16-Nov-17	-0.34
15-Nov-17	-0.66
14-Nov-17	-1.87
13-Nov-17	0.04
10-Nov-17	-0.75
09-Nov-17	0.63
08-Nov-17	-0.68
07-Nov-17	-0.26
06-Nov-17	3.07
03-Nov-17	2.02
02-Nov-17	0.44
01-Nov-17	-0.15
31-Oct-17	0.42
30-Oct-17	0.46
27-Oct-17	2.39
26-Oct-17	0.88
25-Oct-17	-0.55
24-Oct-17	1.1
23-Oct-17	0.84
20-Oct-17	0.35
19-Oct-17	-1.44
18-Oct-17	0.31
17-Oct-17	0.02
16-Oct-17	0.82
13-Oct-17	1.68
12-Oct-17	-1.36
11-Oct-17	0.75
10-Oct-17	2.7
09-Oct-17	0.59
06-Oct-17	-2.95
05-Oct-17	1.62
04-Oct-17	-0.87
03-Oct-17	-0.32
02-Oct-17	-2.11
29-Sep-17	0.21
28-Sep-17	-1.11
27-Sep-17	0.5
26-Sep-17	-0.65
25-Sep-17	3.08
22-Sep-17	0.22
21-Sep-17	0.28
20-Sep-17	1.88
19-Sep-17	-0.86
18-Sep-17	0.04
15-Sep-17	0
14-Sep-17	1.2
13-Sep-17	2.22
12-Sep-17	0.33
11-Sep-17	1.24
08-Sep-17	-3.28
07-Sep-17	-0.14
06-Sep-17	1.03
05-Sep-17	2.64
04-Sep-17	0.19
03-Sep-17	0.06
01-Sep-17	0.13
31-Aug-17	2.76
30-Aug-17	-1.03
29-Aug-17	-0.28
28-Aug-17	-2.72
25-Aug-17	0.93
24-Aug-17	-2.02
23-Aug-17	1.62
22-Aug-17	0.57
21-Aug-17	-2.35
18-Aug-17	3.02
17-Aug-17	0.66
16-Aug-17	-1.62
15-Aug-17	-0.08
14-Aug-17	-2.52
11-Aug-17	0.47
10-Aug-17	-1.96
09-Aug-17	0.79
08-Aug-17	-0.45
07-Aug-17	-0.38
04-Aug-17	1.12
03-Aug-17	-1.13
02-Aug-17	0.87
01-Aug-17	-2.01
31-Jul-17	0.93
28-Jul-17	1.37
27-Jul-17	0.59
26-Jul-17	1.8
25-Jul-17	3.34
24-Jul-17	1.25
21-Jul-17	-2.18
20-Jul-17	-0.7
19-Jul-17	1.55
18-Jul-17	0.83
17-Jul-17	-1.12
14-Jul-17	1
13-Jul-17	1.3
12-Jul-17	1
11-Jul-17	1.44
10-Jul-17	0.38
07-Jul-17	-2.83
06-Jul-17	0.86
05-Jul-17	-4.24
04-Jul-17	0.13
03-Jul-17	2.24
30-Jun-17	2.47
29-Jun-17	0.42
28-Jun-17	1.13
27-Jun-17	1.98
26-Jun-17	0.86
23-Jun-17	0.63
22-Jun-17	0.49
21-Jun-17	-1.62
20-Jun-17	-2.19
19-Jun-17	-1.21
16-Jun-17	0.63
15-Jun-17	-0.6
14-Jun-17	-3.72
13-Jun-17	0.82
12-Jun-17	0.55
09-Jun-17	0.42
08-Jun-17	-0.17
07-Jun-17	-5.13
06-Jun-17	1.67
05-Jun-17	-0.55
02-Jun-17	-1.45
01-Jun-17	0.08
31-May-17	-2.7
30-May-17	-0.62
29-May-17	0.06
28-May-17	0.28
26-May-17	1.84
25-May-17	-4.79
24-May-17	-0.21
23-May-17	1.46
22-May-17	0.79
19-May-17	1.99
18-May-17	0.57
17-May-17	0.84
16-May-17	-0.39
15-May-17	2.11
12-May-17	0.02
11-May-17	1.06
10-May-17	3.16
09-May-17	-1.18
08-May-17	0.45
05-May-17	1.54
04-May-17	-4.81
03-May-17	0.34
02-May-17	-2.42
01-May-17	-0.99
28-Apr-17	0.74
27-Apr-17	-1.31
26-Apr-17	0.12
25-Apr-17	0.67
24-Apr-17	-0.79
21-Apr-17	-1.29
20-Apr-17	-0.34
19-Apr-17	-3.76
18-Apr-17	-0.46
17-Apr-17	-1
13-Apr-17	0.13
12-Apr-17	-0.54
11-Apr-17	0.6
10-Apr-17	1.61
07-Apr-17	1.04
06-Apr-17	1.08
05-Apr-17	0.24
04-Apr-17	1.57
03-Apr-17	-0.71
31-Mar-17	0.5
30-Mar-17	1.7
29-Mar-17	2.36
28-Mar-17	1.34
27-Mar-17	-0.5
24-Mar-17	0.57
23-Mar-17	-0.71
22-Mar-17	1.48
21-Mar-17	-1.82
20-Mar-17	-1.15
17-Mar-17	0.06
16-Mar-17	-0.23
15-Mar-17	2.39
14-Mar-17	-1.4
13-Mar-17	-0.19
10-Mar-17	-1.6
09-Mar-17	-1.99
08-Mar-17	-5.38
07-Mar-17	-0.11
06-Mar-17	-0.24
03-Mar-17	1.37
02-Mar-17	-2.27
01-Mar-17	-0.33
28-Feb-17	-0.07
27-Feb-17	0.11
24-Feb-17	-0.84
23-Feb-17	1.6
22-Feb-17	-0.87
21-Feb-17	0.17
20-Feb-17	0.33
19-Feb-17	0.73
17-Feb-17	0.07
16-Feb-17	0.47
15-Feb-17	-0.17
14-Feb-17	0.51
13-Feb-17	-1.73
10-Feb-17	1.62
09-Feb-17	1.26
08-Feb-17	0.33
07-Feb-17	-1.58
06-Feb-17	-1.52
03-Feb-17	0.54
02-Feb-17	-0.63
01-Feb-17	2.03
31-Jan-17	0.34
30-Jan-17	-1.02
27-Jan-17	-1.13
26-Jan-17	1.95
25-Jan-17	-0.81
24-Jan-17	0.82
23-Jan-17	0.63
20-Jan-17	2.04
19-Jan-17	0.57
18-Jan-17	-2.67
17-Jan-17	-0.08
16-Jan-17	0.13
15-Jan-17	0.15
13-Jan-17	-1.21
12-Jan-17	1.45
11-Jan-17	2.81
10-Jan-17	-2.19
09-Jan-17	-3.76
06-Jan-17	0.43
05-Jan-17	0.94
04-Jan-17	1.78
03-Jan-17	-3.15
02-Jan-17	0.58
30-Dec-16	-0.09
29-Dec-16	-0.54
28-Dec-16	0.3
27-Dec-16	1.33
26-Dec-16	0.32
23-Dec-16	0.13
22-Dec-16	0.88
21-Dec-16	0.5
20-Dec-16	0.21
19-Dec-16	0.42
16-Dec-16	1.96
15-Dec-16	-0.27
14-Dec-16	-3.66
13-Dec-16	0.28
12-Dec-16	2.58
09-Dec-16	1.3
08-Dec-16	2.15
07-Dec-16	-2.28
06-Dec-16	-1.66
05-Dec-16	0.21
02-Dec-16	1.21
01-Dec-16	3.28
30-Nov-16	9.31
29-Nov-16	-3.93
28-Nov-16	2.21
25-Nov-16	-4
24-Nov-16	0.04
23-Nov-16	-0.15
22-Nov-16	1.14
21-Nov-16	3.94
18-Nov-16	0.59
17-Nov-16	-0.33
16-Nov-16	-0.52
15-Nov-16	5.75
14-Nov-16	-0.21
11-Nov-16	-2.8
10-Nov-16	-1.35
09-Nov-16	0.64
08-Nov-16	0.2
07-Nov-16	1.86
04-Nov-16	-1.32
03-Nov-16	-1.5
02-Nov-16	-2.85
01-Nov-16	-0.41
31-Oct-16	-3.78
28-Oct-16	-2.05
27-Oct-16	1.1
26-Oct-16	-1.56
25-Oct-16	-1.11
24-Oct-16	-0.65
21-Oct-16	0.83
20-Oct-16	-2.27
19-Oct-16	2.6
18-Oct-16	0.7
17-Oct-16	-0.81
14-Oct-16	-0.18
13-Oct-16	0.52
12-Oct-16	-1.2
11-Oct-16	-1.09
10-Oct-16	3.09
07-Oct-16	-1.25
06-Oct-16	1.22
05-Oct-16	2.34
04-Oct-16	-0.25
03-Oct-16	1.18
30-Sep-16	0.86
29-Sep-16	1.66
28-Sep-16	5.33
27-Sep-16	-2.74
26-Sep-16	3.26
23-Sep-16	-3.97
22-Sep-16	2.16
21-Sep-16	4.37
20-Sep-16	0.32
19-Sep-16	0.63
16-Sep-16	-2
15-Sep-16	0.76
14-Sep-16	-2.94
13-Sep-16	-3
12-Sep-16	0.89
09-Sep-16	-3.65
08-Sep-16	4.66
07-Sep-16	1.49
06-Sep-16	-0.53
05-Sep-16	2.18
04-Sep-16	-0.74
02-Sep-16	2.97
01-Sep-16	-3.45
31-Aug-16	-3.56
30-Aug-16	-1.34
29-Aug-16	-1.39
26-Aug-16	0.65
25-Aug-16	1.2
24-Aug-16	-2.77
23-Aug-16	2.23
22-Aug-16	-3.03
19-Aug-16	0.62
18-Aug-16	3.06
17-Aug-16	0.45
16-Aug-16	1.84
15-Aug-16	2.81
12-Aug-16	2.3
11-Aug-16	4.27
10-Aug-16	-2.48
09-Aug-16	-0.58
08-Aug-16	2.92
05-Aug-16	-0.31
04-Aug-16	2.69
03-Aug-16	3.34
02-Aug-16	-1.37
01-Aug-16	-3.7
29-Jul-16	1.12
28-Jul-16	-1.86
27-Jul-16	-2.33
26-Jul-16	-0.49
25-Jul-16	-2.4
22-Jul-16	-1.25
21-Jul-16	-0.42
20-Jul-16	0.65
19-Jul-16	-1.3
18-Jul-16	-1.55
15-Jul-16	0.59
14-Jul-16	2.08
13-Jul-16	-4.38
12-Jul-16	4.56
11-Jul-16	-1.43
08-Jul-16	0.6
07-Jul-16	-4.83
06-Jul-16	1.78
05-Jul-16	-4.21
04-Jul-16	-0.73
03-Jul-16	0.04
01-Jul-16	1.37
30-Jun-16	-3.11
29-Jun-16	4.24
28-Jun-16	3.28
27-Jun-16	-2.75
24-Jun-16	-4.93
23-Jun-16	1.99
22-Jun-16	0.57
21-Jun-16	-1.05
20-Jun-16	2.9
17-Jun-16	3.83
16-Jun-16	-3.75
15-Jun-16	-0.99
14-Jun-16	-0.8
13-Jun-16	-0.39
10-Jun-16	-2.95
09-Jun-16	-1.31
08-Jun-16	1.73
07-Jun-16	1.35
06-Jun-16	2.2
03-Jun-16	-1.12
02-Jun-16	0.33
01-Jun-16	-0.18
31-May-16	-0.83
30-May-16	-0.14
29-May-16	0.51
27-May-16	-0.3
26-May-16	-0.16
25-May-16	1.93
24-May-16	1.12
23-May-16	0.69
20-May-16	-0.85
19-May-16	-0.06
18-May-16	-0.25
17-May-16	1.24
16-May-16	3.27
13-May-16	-1.05
12-May-16	1.02
11-May-16	3.52
10-May-16	2.81
09-May-16	-2.73
06-May-16	0.77
05-May-16	1.23
04-May-16	0.3
03-May-16	-2.52
02-May-16	-2.48
29-Apr-16	-0.24
28-Apr-16	1.54
27-Apr-16	2.93
26-Apr-16	3.28
25-Apr-16	-2.49
22-Apr-16	1.27
21-Apr-16	1.29
20-Apr-16	3.77
19-Apr-16	3.27
18-Apr-16	-1.44
15-Apr-16	-2.75
14-Apr-16	-0.62
13-Apr-16	-0.97
12-Apr-16	4.48
11-Apr-16	1.61
08-Apr-16	6.6
07-Apr-16	-1.3
06-Apr-16	5.18
05-Apr-16	0.53
04-Apr-16	-2.96
01-Apr-16	-4.04
31-Mar-16	0.05
30-Mar-16	0.1
29-Mar-16	-2.82
28-Mar-16	-0.18
24-Mar-16	-0.83
23-Mar-16	-4
22-Mar-16	3.86
21-Mar-16	1.19
18-Mar-16	-1.89
17-Mar-16	4.52
16-Mar-16	5.83
15-Mar-16	-2.26
14-Mar-16	-3.43
11-Mar-16	1.74
10-Mar-16	-1.18
09-Mar-16	4.9
08-Mar-16	-3.69
07-Mar-16	5.51
04-Mar-16	3.91
03-Mar-16	-0.26
02-Mar-16	0.76
01-Mar-16	1.93
29-Feb-16	2.96
26-Feb-16	-0.88
25-Feb-16	2.86
24-Feb-16	0.88
23-Feb-16	1.24
22-Feb-16	6.21
19-Feb-16	-3.67
18-Feb-16	0.36
17-Feb-16	5.58
16-Feb-16	-5.11
15-Feb-16	5.26
14-Feb-16	-1.24
12-Feb-16	12.32
11-Feb-16	-4.52
10-Feb-16	-1.75
09-Feb-16	-5.89
08-Feb-16	-3.88
05-Feb-16	-2.62
04-Feb-16	-1.73
03-Feb-16	8.03
02-Feb-16	-5.5
01-Feb-16	-5.95
29-Jan-16	1.2
28-Jan-16	2.85
27-Jan-16	2.7
26-Jan-16	3.66
25-Jan-16	-5.75
22-Jan-16	9.01
21-Jan-16	11.22
20-Jan-16	-6.71
19-Jan-16	-5.21
18-Jan-16	0.94
17-Jan-16	1.1
15-Jan-16	-5.71
14-Jan-16	2.36
13-Jan-16	0.13
12-Jan-16	-3.09
11-Jan-16	-5.28
08-Jan-16	-0.33
07-Jan-16	-2.06
06-Jan-16	-5.56
05-Jan-16	-2.15
04-Jan-16	-0.76
31-Dec-15	1.2
30-Dec-15	-3.35
29-Dec-15	2.88
28-Dec-15	-3.39
24-Dec-15	1.6
23-Dec-15	3.76
22-Dec-15	4.03
21-Dec-15	0.03
18-Dec-15	-0.63
17-Dec-15	-1.6
16-Dec-15	-4.9
15-Dec-15	2.86
14-Dec-15	1.94
11-Dec-15	-3.1
10-Dec-15	-1.08
09-Dec-15	-0.93
08-Dec-15	-0.37
07-Dec-15	-5.8
04-Dec-15	-2.7
03-Dec-15	2.85
02-Dec-15	-4.56
01-Dec-15	0.48
30-Nov-15	-0.14
27-Nov-15	-2.07
26-Nov-15	-1.05
25-Nov-15	0.4
24-Nov-15	2.68
23-Nov-15	3.37
20-Nov-15	-0.37
19-Nov-15	-0.52
18-Nov-15	0.2
17-Nov-15	-2.56
16-Nov-15	2.45
13-Nov-15	-2.42
12-Nov-15	-2.75
11-Nov-15	-2.9
