Date	SP500Change %
03-Jan-18	0.67
02-Jan-18	0.46
01-Jan-18	0.18
29-Dec-17	-0.36
28-Dec-17	0.01
27-Dec-17	-0.06
26-Dec-17	-0.05
25-Dec-17	0.08
22-Dec-17	-0.07
21-Dec-17	0.23
20-Dec-17	-0.09
19-Dec-17	-0.39
18-Dec-17	0.95
15-Dec-17	0.59
14-Dec-17	-0.5
13-Dec-17	0.06
12-Dec-17	0.13
11-Dec-17	0.4
08-Dec-17	0.44
07-Dec-17	0.39
06-Dec-17	0.04
05-Dec-17	-0.38
04-Dec-17	-0.22
01-Dec-17	-0.15
30-Nov-17	0.88
29-Nov-17	-0.04
28-Nov-17	0.93
27-Nov-17	0.03
24-Nov-17	0.23
23-Nov-17	0.02
22-Nov-17	-0.07
21-Nov-17	0.55
20-Nov-17	0.22
17-Nov-17	-0.34
16-Nov-17	0.78
15-Nov-17	-0.5
14-Nov-17	-0.15
13-Nov-17	0.1
10-Nov-17	-0.17
09-Nov-17	-0.27
08-Nov-17	0.16
07-Nov-17	-0.08
06-Nov-17	0.23
03-Nov-17	0.23
02-Nov-17	0.08
01-Nov-17	0.08
31-Oct-17	0.18
30-Oct-17	-0.4
27-Oct-17	0.66
26-Oct-17	0.12
25-Oct-17	-0.34
24-Oct-17	0.15
23-Oct-17	-0.41
20-Oct-17	0.53
19-Oct-17	0.02
18-Oct-17	0.12
17-Oct-17	0.03
16-Oct-17	0.14
13-Oct-17	0.13
12-Oct-17	-0.14
11-Oct-17	0.18
10-Oct-17	0.19
09-Oct-17	-0.05
06-Oct-17	-0.2
05-Oct-17	0.54
04-Oct-17	0.14
03-Oct-17	0.26
02-Oct-17	0.41
29-Sep-17	0.33
28-Sep-17	0.13
27-Sep-17	0.36
26-Sep-17	-0.06
25-Sep-17	-0.1
22-Sep-17	-0.06
21-Sep-17	-0.17
20-Sep-17	0.02
19-Sep-17	0.08
18-Sep-17	0.24
15-Sep-17	0.01
14-Sep-17	0
13-Sep-17	0.02
12-Sep-17	0.34
