Date,Price,Open,High,Low,High-Low,Price-High,Price-Low,Price-Open,FXChange %,weekly change,monthly change,label
03-Jan-18,1.2533,1.2513,1.2555,1.2498,0.0057,-0.0022,0.0035,0.002,0.16,-1.237194641,-1.260537304,-1
02-Jan-18,1.2513,1.2543,1.2561,1.2499,0.0062,-0.0048,0.0014,-0.003,-0.26,-1.696912562,-2.073876976,1
01-Jan-18,1.2545,1.2579,1.2582,1.2544,0.0038,-0.0037,0.0001,-0.0034,-0.27,-1.476478442,-2.145085803,-1
29-Dec-17,1.2579,1.2569,1.2586,1.2513,0.0073,-0.0007,0.0066,0.001,0.08,-1.248233632,-1.44166732,-1
28-Dec-17,1.2569,1.2655,1.2663,1.2564,0.0099,-0.0094,0.0005,-0.0086,-0.68,-2.080087255,-1.473700713,1
27-Dec-17,1.2655,1.2687,1.2697,1.2625,0.0072,-0.0042,0.003,-0.0032,-0.28,-1.731635347,-0.853964275,-1
26-Dec-17,1.269,1.2729,1.2737,1.2684,0.0053,-0.0047,0.0006,-0.0039,-0.31,-1.337272586,-0.322048543,-1
25-Dec-17,1.2729,1.2724,1.2742,1.2714,0.0028,-0.0013,0.0015,0.0005,-0.03,-1.034053802,-0.031414435,-1
22-Dec-17,1.2733,1.2741,1.2797,1.2695,0.0102,-0.0064,0.0038,-0.0008,-0.04,-0.492341357,0.402144772,-1
21-Dec-17,1.2738,1.2833,1.2839,1.2696,0.0143,-0.0101,0.0042,-0.0095,-0.76,-0.600858369,0.433651344,-1
20-Dec-17,1.2836,1.2875,1.2882,1.2816,0.0066,-0.0046,0.002,-0.0039,-0.33,-0.202145856,0.856446924,-1
19-Dec-17,1.2878,1.286,1.292,1.2848,0.0072,-0.0042,0.003,0.0018,0.12,0.171126322,0.81415375,-1
18-Dec-17,1.2862,1.2874,1.2882,1.2842,0.004,-0.002,0.002,-0.0012,0,0.132347217,1.243702771,1
15-Dec-17,1.2862,1.2799,1.2892,1.2737,0.0155,-0.003,0.0125,0.0063,0.52,0.085596452,0.775679699,1
14-Dec-17,1.2796,1.2819,1.2867,1.2711,0.0156,-0.0071,0.0085,-0.0023,-0.15,0.04691165,-0.093691443,1
13-Dec-17,1.2815,1.2865,1.2882,1.2791,0.0091,-0.0067,0.0024,-0.005,-0.37,1.000945776,-0.411874417,-1
12-Dec-17,1.2862,1.2857,1.2893,1.2811,0.0082,-0.0031,0.0051,0.0005,0.05,1.515390687,-0.186248642,-1
11-Dec-17,1.2856,1.2854,1.2871,1.2831,0.004,-0.0015,0.0025,0.0002,0.09,1.364030592,0.202650039,1
08-Dec-17,1.2845,1.2851,1.2881,1.2803,0.0078,-0.0036,0.0042,-0.0006,-0.05,-0.395471464,0.288881949,1
07-Dec-17,1.2851,1.279,1.2869,1.2783,0.0086,-0.0018,0.0068,0.0061,0.48,-0.108822386,0.031135674,-1
06-Dec-17,1.279,1.2688,1.2809,1.265,0.0159,-0.0019,0.014,0.0102,0.8,-0.202871411,-0.046889653,1
05-Dec-17,1.2688,1.267,1.2706,1.2622,0.0084,-0.0018,0.0066,0.0018,0.14,-0.634348814,0.102564103,1
04-Dec-17,1.267,1.2686,1.2728,1.2654,0.0074,-0.0058,0.0016,-0.0016,-0.1,-0.353912702,0.142269997,1
01-Dec-17,1.2683,1.2897,1.2903,1.2681,0.0222,-0.022,0.0002,-0.0214,-1.65,-0.235978919,0.45144939,-1
30-Nov-17,1.2896,1.2866,1.2912,1.2849,0.0063,-0.0016,0.0047,0.003,0.24,1.599306704,3.283677719,-1
29-Nov-17,1.2865,1.2811,1.2875,1.2802,0.0073,-0.001,0.0063,0.0054,0.38,0.680857724,3.19242801,1
28-Nov-17,1.2816,1.2768,1.2825,1.2751,0.0074,-0.0009,0.0065,0.0048,0.37,-0.031201248,2.364217252,1
27-Nov-17,1.2769,1.2712,1.2772,1.2678,0.0094,-0.0003,0.0091,0.0057,0.42,0.047010891,2.005112638,1
